year,quarter,state,district,count,amount
2021,Q4,West Bengal,Murshidabad,13422646,33656929004.291046
2021,Q4,West Bengal,South Twenty Four Parganas,9996197,22549554717.599293
2021,Q4,West Bengal,Purba Medinipur,9886889,23874294119.021557
2021,Q4,West Bengal,Hooghly,9342381,18914851063.97778
2021,Q4,West Bengal,Nadia,8591598,19373295943.918587
2021,Q4,West Bengal,Paschim Bardhaman,8475007,15264204423.795567
2021,Q4,West Bengal,Paschim Medinipur,7894026,16639425790.500774
2021,Q3,West Bengal,Kolkata,55166796,108533947842.03369
2021,Q3,West Bengal,North Twenty Four Parganas,22393657,40621221621.04847
2021,Q3,West Bengal,Howrah,15377518,27653090450.95542
2021,Q3,West Bengal,Murshidabad,10931440,25748905389.53725
2021,Q3,West Bengal,South Twenty Four Parganas,8148035,17003261364.446453
2021,Q3,West Bengal,Purba Medinipur,7833998,18432252642.503994
2021,Q3,West Bengal,Hooghly,7784199,14865078300.05121
2021,Q3,West Bengal,Nadia,6912466,15091309342.981657
2021,Q3,West Bengal,Paschim Bardhaman,6486598,11454626096.90325
2021,Q3,West Bengal,Paschim Medinipur,6258901,12581282827.778063
2021,Q1,West Bengal,Kolkata,33156725,67772051033.458176
2021,Q1,West Bengal,North Twenty Four Parganas,15695125,27895823531.579113
2021,Q1,West Bengal,Howrah,9971593,19433078118.20204
2021,Q1,West Bengal,Murshidabad,6771948,16548543048.893997
2021,Q1,West Bengal,South Twenty Four Parganas,5599480,12117504304.189785
2021,Q1,West Bengal,Hooghly,5418241,10168468111.111834
2021,Q1,West Bengal,Purba Medinipur,5365020,12827859644.822784
2021,Q1,West Bengal,Nadia,4539314,9862089010.152363
2021,Q1,West Bengal,Paschim Bardhaman,4191623,7560655964.1510105
2021,Q1,West Bengal,Paschim Medinipur,4172851,8823590467.006695
2021,Q2,West Bengal,Kolkata,41726247,80954850438.57185
2021,Q2,West Bengal,North Twenty Four Parganas,17258291,30414821772.928673
2021,Q2,West Bengal,Howrah,12238810,22440665027.606167
2021,Q2,West Bengal,Murshidabad,8602251,19996935608.243378
2021,Q2,West Bengal,South Twenty Four Parganas,6661813,13398529483.673185
2021,Q2,West Bengal,Purba Medinipur,6418522,15155067721.273426
2021,Q2,West Bengal,Hooghly,6360194,11614334146.67925
2021,Q2,West Bengal,Nadia,5524174,11227582723.377321
2021,Q2,West Bengal,Paschim Medinipur,5051834,10303513378.79989
2021,Q2,West Bengal,Paschim Bardhaman,4893774,8731262893.729904
2019,Q2,West Bengal,Kolkata,13259522,17260848900.77318
2019,Q2,West Bengal,North Twenty Four Parganas,6157371,7197223705.950621
2019,Q2,West Bengal,Purba Bardhaman,4174535,4375901182.135069
2019,Q2,West Bengal,Hooghly,2379459,2442336673.6144834
2019,Q2,West Bengal,Murshidabad,2301748,2744461154.3824716
2019,Q2,West Bengal,Paschim Bardhaman,2145729,2557384605.140711
2019,Q2,West Bengal,South Twenty Four Parganas,2092814,2437194676.6534767
2019,Q2,West Bengal,Purba Medinipur,1850677,2439996733.7922893
2019,Q2,West Bengal,Howrah,1740780,2186684125.294092
2019,Q2,West Bengal,Nadia,1702468,1996301068.112169
2019,Q3,West Bengal,Kolkata,16306691,21451201632.248753
2019,Q3,West Bengal,North Twenty Four Parganas,8854937,9351811604.762173
2019,Q3,West Bengal,Purba Bardhaman,5809301,5357582349.263203
2019,Q3,West Bengal,Murshidabad,4494100,3474157884.9006653
2019,Q3,West Bengal,Hooghly,3690825,3088441313.2360687
2019,Q3,West Bengal,Paschim Bardhaman,3088578,3179774211.0084143
2019,Q3,West Bengal,South Twenty Four Parganas,2784616,2980743400.200357
2019,Q3,West Bengal,Purba Medinipur,2642814,2923218852.733621
2019,Q3,West Bengal,Nadia,2571191,2474590164.314495
