year,quarter,state,registeredusers,appopens
2019,Q2,Gujarat,7574645,34890301
2019,Q2,Sikkim,70999,398520
2019,Q2,Nagaland,66891,362497
2019,Q2,Mizoram,28696,133025
2019,Q2,Chhattisgarh,2191066,13206373
2019,Q2,Jammu & Kashmir,631193,2705373
2019,Q2,Goa,278940,1352232
2019,Q2,Arunachal Pradesh,95885,502873
2019,Q2,Delhi,6165448,43731570
2019,Q2,Uttarakhand,1414339,7454279
2019,Q3,Puducherry,177868,2476922
2019,Q3,Tamil Nadu,8428835,124690342
2019,Q3,Uttar Pradesh,16044607,268142606
2019,Q3,Madhya Pradesh,8180664,192353380
2019,Q3,Andhra Pradesh,10458693,310953542
2019,Q3,Tripura,245456,3350991
2019,Q3,Lakshadweep,2117,15038
2019,Q3,Manipur,136316,1594205
2019,Q3,Maharashtra,21313081,439998413
2019,Q3,Dadra & Nagar Haveli & Daman & Diu,176929,3126189
2019,Q3,Meghalaya,87395,1387814
2019,Q3,Andaman & Nicobar Islands,23931,171107
2019,Q3,Haryana,5783752,118332587
2019,Q3,Rajasthan,9797304,238338999
2019,Q3,Ladakh,39173,503126
2019,Q3,Punjab,2962713,40860886
2019,Q3,Assam,1731523,25393673
2019,Q3,Jharkhand,2915511,55504460
2019,Q3,Odisha,5387209,130181456
2019,Q3,Bihar,7380265,126521298
2019,Q3,Kerala,2990963,31471694
2019,Q3,Karnataka,13635075,445683660
2019,Q3,Chandigarh,267337,4625196
2019,Q3,Telangana,10090557,318124511
2019,Q3,Himachal Pradesh,876184,10720741
2019,Q3,West Bengal,9643222,176559011
2019,Q3,Gujarat,8429299,129441484
2019,Q3,Sikkim,82128,1316804
2019,Q3,Nagaland,80077,1244022
2019,Q3,Mizoram,34134,457834
2019,Q3,Chhattisgarh,2435058,46362341
2019,Q3,Jammu & Kashmir,658455,3843919
2019,Q3,Goa,317194,4753892
2019,Q3,Arunachal Pradesh,112149,1811700
2019,Q3,Delhi,6782286,163381027
2019,Q3,Uttarakhand,1585859,24660988
2019,Q1,Puducherry,133059,0
2019,Q1,Tamil Nadu,6296303,0
2019,Q1,Uttar Pradesh,12458661,0
2019,Q1,Madhya Pradesh,6414403,0
2019,Q1,Andhra Pradesh,8283019,0
2019,Q1,Tripura,183254,0
2019,Q1,Lakshadweep,1416,0
2019,Q1,Manipur,99527,0
2019,Q1,Maharashtra,16284451,0
2019,Q1,Dadra & Nagar Haveli & Daman & Diu,140532,0
2019,Q1,Meghalaya,61487,0
2019,Q1,Andaman & Nicobar Islands,18596,0
2019,Q1,Haryana,4538767,0
2019,Q1,Rajasthan,7712204,0
2019,Q1,Ladakh,29649,0
2019,Q1,Punjab,2226590,0
2019,Q1,Assam,1259085,0
2019,Q1,Jharkhand,2279329,0
2019,Q1,Odisha,4320744,0
2019,Q1,Bihar,5745117,0
2019,Q1,Kerala,2136624,0
2019,Q1,Karnataka,10266174,0
2019,Q1,Chandigarh,209175,0
2019,Q1,Telangana,7963425,0
2019,Q1,Himachal Pradesh,653205,0
2019,Q1,West Bengal,7449425,0
2019,Q1,Gujarat,6652536,0
2019,Q1,Sikkim,58956,0
2019,Q1,Nagaland,53911,0
2019,Q1,Mizoram,23670,0
2019,Q1,Chhattisgarh,1908898,0
2019,Q1,Jammu & Kashmir,530669,0
2019,Q1,Goa,238152,0
2019,Q1,Arunachal Pradesh,76957,0
2019,Q1,Delhi,5499263,0
2019,Q1,Uttarakhand,1224955,0
2019,Q4,Puducherry,204292,3263122
2019,Q4,Tamil Nadu,9620493,155011717
2019,Q4,Uttar Pradesh,17949542,324068625
2019,Q4,Madhya Pradesh,9165241,237844976
2019,Q4,Andhra Pradesh,11757883,411201518
2019,Q4,Tripura,272298,3610807
2019,Q4,Lakshadweep,2427,17760
2019,Q4,Manipur,155358,1855488
2019,Q4,Maharashtra,23745297,543654112
2019,Q4,Dadra & Nagar Haveli & Daman & Diu,197598,3770543
2019,Q4,Meghalaya,100030,1490542
2019,Q4,Andaman & Nicobar Islands,25960,177012
2019,Q4,Haryana,6366679,136721888
2019,Q4,Rajasthan,10925031,288904693
2019,Q4,Ladakh,43108,470440
2019,Q4,Punjab,3321742,47673880
2019,Q4,Assam,1941220,26599449
2019,Q4,Jharkhand,3281371,70181789
2019,Q4,Odisha,6115537,189905719
2019,Q4,Bihar,8342274,163998097
2019,Q4,Kerala,3503938,40046033
2019,Q4,Karnataka,15385416,569674870
2019,Q4,Chandigarh,289590,4960441
2019,Q4,Telangana,11220691,399239044
2019,Q4,Himachal Pradesh,985945,12637904
2019,Q4,West Bengal,10885058,244326613
2019,Q4,Gujarat,9323799,147973757
2019,Q4,Sikkim,92972,1552004
2019,Q4,Nagaland,93124,1454551
2019,Q4,Mizoram,39809,529168
2019,Q4,Chhattisgarh,2725900,57278977
2019,Q4,Jammu & Kashmir,673367,998572
2019,Q4,Goa,353546,6290543
2019,Q4,Arunachal Pradesh,129321,2140340
2019,Q4,Delhi,7289883,172682671
2019,Q4,Uttarakhand,1752677,28853867
2018,Q4,Puducherry,109494,0
2018,Q4,Tamil Nadu,5199878,0
2018,Q4,Uttar Pradesh,10341964,0
2018,Q4,Madhya Pradesh,5365442,0
2018,Q4,Andhra Pradesh,6857409,0
2018,Q4,Tripura,153265,0
2018,Q4,Lakshadweep,1156,0
2018,Q4,Manipur,82589,0
2018,Q4,Maharashtra,13381602,0
2018,Q4,Dadra & Nagar Haveli & Daman & Diu,116511,0
2018,Q4,Meghalaya,49634,0
2018,Q4,Andaman & Nicobar Islands,15222,0
2018,Q4,Haryana,3793079,0
2018,Q4,Rajasthan,6358738,0
2018,Q4,Ladakh,23883,0
2018,Q4,Punjab,1865715,0
2018,Q4,Assam,1039221,0
2018,Q4,Jharkhand,1913949,0
2018,Q4,Odisha,3623911,0
2018,Q4,Bihar,4776665,0
2018,Q4,Kerala,1757326,0
2018,Q4,Karnataka,8315802,0
2018,Q4,Chandigarh,177747,0
2018,Q4,Telangana,6529679,0
2018,Q4,Himachal Pradesh,526343,0
2018,Q4,West Bengal,6279278,0
2018,Q4,Gujarat,5579040,0
2018,Q4,Sikkim,48538,0
2018,Q4,Nagaland,42997,0
2018,Q4,Mizoram,19365,0
2018,Q4,Chhattisgarh,1579998,0
2018,Q4,Jammu & Kashmir,436563,0
2018,Q4,Goa,195350,0
2018,Q4,Arunachal Pradesh,61852,0
2018,Q4,Delhi,4630313,0
2018,Q4,Uttarakhand,1012103,0
2018,Q3,Puducherry,81546,0
2018,Q3,Tamil Nadu,3900177,0
2018,Q3,Uttar Pradesh,8096483,0
2018,Q3,Madhya Pradesh,4309309,0
2018,Q3,Andhra Pradesh,5427617,0
2018,Q3,Tripura,116874,0
2018,Q3,Lakshadweep,918,0
2018,Q3,Manipur,61935,0
2018,Q3,Maharashtra,10435033,0
2018,Q3,Dadra & Nagar Haveli & Daman & Diu,92107,0
2018,Q3,Meghalaya,37281,0
2018,Q3,Andaman & Nicobar Islands,12149,0
2018,Q3,Haryana,3020398,0
2018,Q3,Rajasthan,5175453,0
2018,Q3,Ladakh,17749,0
2018,Q3,Punjab,1473148,0
2018,Q3,Assam,784802,0
2018,Q3,Jharkhand,1532362,0
2018,Q3,Odisha,2795718,0
2018,Q3,Bihar,3784535,0
2018,Q3,Kerala,1347598,0
2018,Q3,Karnataka,6372649,0
2018,Q3,Chandigarh,143893,0
2018,Q3,Telangana,5138501,0
2018,Q3,Himachal Pradesh,407634,0
2018,Q3,West Bengal,4851740,0
2018,Q3,Gujarat,4433183,0
2018,Q3,Sikkim,37637,0
2018,Q3,Nagaland,32090,0
2018,Q3,Mizoram,14502,0
2018,Q3,Chhattisgarh,1217792,0
2018,Q3,Jammu & Kashmir,342529,0
2018,Q3,Goa,153802,0
2018,Q3,Arunachal Pradesh,45922,0
2018,Q3,Delhi,3504911,0
2018,Q3,Uttarakhand,810612,0
2018,Q1,Puducherry,49318,0
2018,Q1,Tamil Nadu,2104754,0
2018,Q1,Uttar Pradesh,4694250,0
2018,Q1,Madhya Pradesh,2553603,0
2018,Q1,Andhra Pradesh,3336450,0
2018,Q1,Tripura,55157,0
2018,Q1,Lakshadweep,501,0
2018,Q1,Manipur,29925,0
2018,Q1,Maharashtra,6106994,0
2018,Q1,Dadra & Nagar Haveli & Daman & Diu,53258,0
2018,Q1,Meghalaya,18513,0
2018,Q1,Andaman & Nicobar Islands,6740,0
2018,Q1,Haryana,1847357,0
2018,Q1,Rajasthan,3158202,0
2018,Q1,Ladakh,8784,0
2018,Q1,Punjab,847142,0
2018,Q1,Assam,385237,0
2018,Q1,Jharkhand,885762,0
2018,Q1,Odisha,1594015,0
2018,Q1,Bihar,2133804,0
2018,Q1,Kerala,784184,0
2018,Q1,Karnataka,3717763,0
2018,Q1,Chandigarh,86268,0
2018,Q1,Telangana,3315560,0
2018,Q1,Himachal Pradesh,227373,0
2018,Q1,West Bengal,2604789,0
2018,Q1,Gujarat,2690048,0
2018,Q1,Sikkim,20051,0
2018,Q1,Nagaland,15074,0
2018,Q1,Mizoram,7593,0
2018,Q1,Chhattisgarh,679263,0
2018,Q1,Jammu & Kashmir,176425,0
2018,Q1,Goa,91936,0
2018,Q1,Arunachal Pradesh,21495,0
2018,Q1,Delhi,2087022,0
2018,Q1,Uttarakhand,483043,0
2018,Q2,Puducherry,65580,0
2018,Q2,Tamil Nadu,2996036,0
2018,Q2,Uttar Pradesh,6442554,0
2018,Q2,Madhya Pradesh,3441662,0
2018,Q2,Andhra Pradesh,4402540,0
2018,Q2,Tripura,83369,0
2018,Q2,Lakshadweep,686,0
2018,Q2,Manipur,46055,0
2018,Q2,Maharashtra,8222371,0
2018,Q2,Dadra & Nagar Haveli & Daman & Diu,71458,0
2018,Q2,Meghalaya,26618,0
2018,Q2,Andaman & Nicobar Islands,9405,0
2018,Q2,Haryana,2447221,0
2018,Q2,Rajasthan,4212964,0
2018,Q2,Ladakh,12918,0
2018,Q2,Punjab,1152190,0
2018,Q2,Assam,571046,0
2018,Q2,Jharkhand,1230599,0
2018,Q2,Odisha,2185781,0
2018,Q2,Bihar,3005872,0
2018,Q2,Kerala,1066587,0
2018,Q2,Karnataka,5030665,0
2018,Q2,Chandigarh,115219,0
2018,Q2,Telangana,4260115,0
2018,Q2,Himachal Pradesh,315299,0
2018,Q2,West Bengal,3833795,0
2018,Q2,Gujarat,3565825,0
2018,Q2,Sikkim,28097,0
2018,Q2,Nagaland,22436,0
2018,Q2,Mizoram,10422,0
2018,Q2,Chhattisgarh,950675,0
2018,Q2,Jammu & Kashmir,261609,0
2018,Q2,Goa,122174,0
2018,Q2,Arunachal Pradesh,32883,0
2018,Q2,Delhi,2756141,0
2018,Q2,Uttarakhand,649142,0
2021,Q4,Puducherry,423167,14257568
2021,Q4,Tamil Nadu,20433142,685861440
2021,Q4,Uttar Pradesh,36617655,1175923794
2021,Q4,Madhya Pradesh,18456243,956630781
2021,Q4,Andhra Pradesh,22489029,1447717601
2021,Q4,Tripura,546292,10728702
2021,Q4,Lakshadweep,5638,67320
2021,Q4,Manipur,387746,7603294
2021,Q4,Maharashtra,45482506,2031739248
2021,Q4,Dadra & Nagar Haveli & Daman & Diu,398963,15009455
2021,Q4,Meghalaya,240268,6048594
