year,quarter,state,count,amount
2023,Q3,Odisha,622397603,840298338124.0
2023,Q3,Bihar,734238751,1148153363366.0
2023,Q3,Kerala,170658651,220332613329.0
2023,Q3,Karnataka,2369262302,2985880895587.0
2023,Q3,Chandigarh,13052165,15426783311.0
2023,Q3,Telangana,1875045924,2870202901073.0
2023,Q3,Himachal Pradesh,33337054,41854571637.0
2023,Q3,West Bengal,632093191,1071548606382.0
2023,Q3,Gujarat,479303590,707737036450.0
2023,Q3,Sikkim,4804937,8107237421.0
2023,Q3,Nagaland,3422331,8616299673.0
2023,Q3,Mizoram,1310413,3106130235.0
2023,Q3,Chhattisgarh,283492657,350379679526.0
2023,Q3,Jammu & Kashmir,63903579,86016148426.0
2023,Q3,Goa,26999728,37375179974.0
2023,Q3,Arunachal Pradesh,12802433,21127391086.0
2023,Q3,Delhi,546706983,708199251438.0
2023,Q3,Uttarakhand,106284687,128762398121.0
2023,Q4,Puducherry,12986163,17024510550.0
2023,Q4,Tamil Nadu,593481381,872870665005.0
2023,Q4,Uttar Pradesh,1566705382,2257441161652.0
2023,Q4,Madhya Pradesh,1102294613,1426502880687.0
2023,Q4,Andhra Pradesh,1596987426,2802514977823.0
2023,Q4,Tripura,10140910,16819896794.0
2023,Q4,Lakshadweep,63479,119831383.0
2023,Q4,Manipur,2113200,6800325298.0
2023,Q4,Maharashtra,2572162725,3098014934958.0
2023,Q4,Dadra & Nagar Haveli & Daman & Diu,18302373,17558059967.0
2023,Q4,Meghalaya,7268384,13873058692.0
2023,Q4,Andaman & Nicobar Islands,3695783,6269552499.0
2023,Q4,Haryana,554748233,782270484600.0
2023,Q4,Rajasthan,1349472154,2066379607801.0
2023,Q4,Ladakh,3150218,6942986945.0
2023,Q4,Punjab,142228995,231139462165.0
2023,Q4,Assam,193752157,285603636931.0
2023,Q4,Jharkhand,374538362,498720104925.0
2023,Q4,Odisha,732137476,978791865637.0
2023,Q4,Bihar,924427274,1434735808415.0
2023,Q4,Kerala,179843093,224985321465.0
2023,Q4,Karnataka,2564434164,3241376424383.0
2023,Q4,Chandigarh,13280078,16281223001.0
2023,Q4,Telangana,2020822178,3116417474765.0
2023,Q4,Himachal Pradesh,38651839,48280246564.0
2023,Q4,West Bengal,737953238,1249394976078.0
2023,Q4,Gujarat,534115578,795087199074.0
2023,Q4,Sikkim,4857324,8590608471.0
2023,Q4,Nagaland,3797179,9674575422.0
2023,Q4,Mizoram,1500728,3540840283.0
2023,Q4,Chhattisgarh,321876332,403985034545.0
2023,Q4,Jammu & Kashmir,69167132,93070141760.0
2023,Q4,Goa,33460978,44287671557.0
2023,Q4,Arunachal Pradesh,14617742,24128799794.0
2023,Q4,Delhi,598150746,799649719349.0
2023,Q4,Uttarakhand,118071440,148083447262.0
2023,Q2,Puducherry,11130326,15386733257.0
2023,Q2,Tamil Nadu,498429638,776362551015.0
2023,Q2,Uttar Pradesh,1211410582,1836622076526.0
2023,Q2,Madhya Pradesh,848037060,1202440949508.0
2023,Q2,Andhra Pradesh,1305656964,2506039086916.0
2023,Q2,Tripura,7929543,13919130082.0
2023,Q2,Lakshadweep,34918,97987438.0
2023,Q2,Manipur,1606271,4463876653.0
2023,Q2,Maharashtra,2063717848,2606004606468.0
2023,Q2,Dadra & Nagar Haveli & Daman & Diu,13357115,13750538188.0
2023,Q2,Meghalaya,5077212,11084506486.0
2023,Q2,Andaman & Nicobar Islands,2707775,4990344236.0
2023,Q2,Haryana,457536190,661742128636.0
2023,Q2,Rajasthan,1073459338,1698455586300.0
2023,Q2,Ladakh,2943815,7191103886.0
2023,Q2,Punjab,117290289,194181575454.0
2023,Q2,Assam,138290953,235110788783.0
2023,Q2,Jharkhand,289233893,422214727508.0
2023,Q2,Odisha,544597829,799332054104.0
2023,Q2,Bihar,683933094,1226046745390.0
2023,Q2,Kerala,156170617,207796670985.0
2023,Q2,Karnataka,2067867526,2777599098830.0
2023,Q2,Chandigarh,11553687,14414408750.0
2023,Q2,Telangana,1665430971,2698149935008.0
2023,Q2,Himachal Pradesh,35061595,46875063718.0
2023,Q2,West Bengal,545317686,1009315106972.0
2023,Q2,Gujarat,416922553,645407208525.0
2023,Q2,Sikkim,4412967,8580350436.0
2023,Q2,Nagaland,2922001,8021399310.0
2023,Q2,Mizoram,1208930,3191806576.0
2023,Q2,Chhattisgarh,249931636,333156846754.0
2023,Q2,Jammu & Kashmir,54588299,76530005380.0
2023,Q2,Goa,26530590,38412206943.0
2023,Q2,Arunachal Pradesh,10360488,19805698664.0
2023,Q2,Delhi,482138998,661728515657.0
2023,Q2,Uttarakhand,102758214,134072872398.0
2022,Q1,Puducherry,7359176,12083474905.386654
2022,Q1,Tamil Nadu,294573150,512789201600.61597
2022,Q1,Uttar Pradesh,473953246,883123174117.039
2022,Q1,Madhya Pradesh,472703058,747665139599.6421
2022,Q1,Andhra Pradesh,582603911,1294320646554.8625
2022,Q1,Tripura,2871190,6247329764.349836
2022,Q1,Lakshadweep,16397,54939432.65393007
2022,Q1,Manipur,5313679,14144501078.373814
2022,Q1,Maharashtra,1169506438,1681399273981.1614
2022,Q1,Dadra & Nagar Haveli & Daman & Diu,4802803,6237048367.262389
2022,Q1,Meghalaya,1674750,4662338331.33188
2022,Q1,Andaman & Nicobar Islands,794748,2129030202.0751667
2022,Q1,Haryana,191988609,341304042652.78125
2022,Q1,Rajasthan,564962220,1022050180980.1362
2022,Q1,Ladakh,630015,2025040918.8422096
2022,Q1,Punjab,57758302,118389978105.96233
2022,Q1,Assam,58889886,132280437892.70251
2022,Q1,Jharkhand,110911210,194700207087.16907
2022,Q1,Odisha,263633499,451227311779.7898
2022,Q1,Bihar,284390434,611411695731.1454
2022,Q1,Kerala,95280965,139988942464.69464
2022,Q1,Karnataka,1057855407,1566649488305.8838
2022,Q1,Chandigarh,8600491,15174991549.840002
2022,Q1,Telangana,886453385,1670638169828.999
2022,Q1,Himachal Pradesh,16088180,26518447439.932728
2022,Q1,West Bengal,260505092,551426663209.5653
2022,Q1,Gujarat,210547146,392548092253.5477
2022,Q1,Sikkim,1744302,4367431275.863418
2022,Q1,Nagaland,1925952,5544951708.895753
2022,Q1,Mizoram,604917,1945158963.6112473
2022,Q1,Chhattisgarh,97413292,157847045454.8349
2022,Q1,Jammu & Kashmir,16245311,33147863626.158833
2022,Q1,Goa,12214098,19816445402.846123
2022,Q1,Arunachal Pradesh,2804068,7828091628.0873575
2022,Q1,Delhi,330999861,536964920836.2892
2022,Q1,Uttarakhand,44560772,70978782500.07388
2022,Q3,Puducherry,7042727,10854317711.140945
2022,Q3,Tamil Nadu,393496175,631879220373.2378
2022,Q3,Uttar Pradesh,703589072,1121370050898.7214
2022,Q3,Madhya Pradesh,731259559,1032908494249.5833
2022,Q3,Andhra Pradesh,642855035,1385077409712.0752
2022,Q3,Tripura,4256579,8648352804.91115
2022,Q3,Lakshadweep,15241,47580009.61750026
