year,quarter,state,count,amount
2022,Q1,Jammu & Kashmir,3584,7244267.0
2022,Q1,Goa,2634,3865245.0
2022,Q1,Arunachal Pradesh,355,894107.0
2022,Q1,Delhi,28232,35442069.0
2022,Q1,Uttarakhand,5339,8824948.0
2022,Q3,Puducherry,1585,2025529.0
2022,Q3,Tamil Nadu,64356,79747520.0
2022,Q3,Uttar Pradesh,64514,87703512.0
2022,Q3,Madhya Pradesh,22733,29185118.0
2022,Q3,Andhra Pradesh,39301,48791931.0
2022,Q3,Tripura,1590,2105984.0
2022,Q3,Lakshadweep,38,41504.0
2022,Q3,Manipur,200,403213.0
2022,Q3,Maharashtra,90958,113835208.0
2022,Q3,Dadra & Nagar Haveli & Daman & Diu,707,983776.0
2022,Q3,Meghalaya,600,1039491.0
2022,Q3,Andaman & Nicobar Islands,643,902466.0
2022,Q3,Haryana,35346,45402800.0
2022,Q3,Rajasthan,33975,45565544.0
2022,Q3,Ladakh,137,369742.0
2022,Q3,Punjab,12370,19381895.0
2022,Q3,Assam,14149,22543564.0
2022,Q3,Jharkhand,14388,18156857.0
2022,Q3,Odisha,18898,23308531.0
2022,Q3,Bihar,28511,34704251.0
2022,Q3,Kerala,54587,85390924.0
2022,Q3,Karnataka,110273,144605784.0
2022,Q3,Chandigarh,1533,1998439.0
2022,Q3,Telangana,51465,64798126.0
2022,Q3,Himachal Pradesh,3641,6161692.0
2022,Q3,West Bengal,47853,59092307.0
2022,Q3,Gujarat,31302,37557227.0
2022,Q3,Sikkim,243,474940.0
2022,Q3,Nagaland,210,439669.0
2022,Q3,Mizoram,310,471306.0
2022,Q3,Chhattisgarh,8849,12119470.0
2022,Q3,Jammu & Kashmir,4794,8281826.0
2022,Q3,Goa,3157,4142108.0
2022,Q3,Arunachal Pradesh,510,1300304.0
2022,Q3,Delhi,35944,41570160.0
2022,Q3,Uttarakhand,6784,10070172.0
2020,Q2,Puducherry,112,22251.0
2020,Q2,Tamil Nadu,5473,1075552.0
2020,Q2,Uttar Pradesh,9884,1912266.0
2020,Q2,Madhya Pradesh,6283,1198701.0
2020,Q2,Andhra Pradesh,22104,3982391.0
2020,Q2,Tripura,88,22054.0
2020,Q2,Manipur,55,12554.0
2020,Q2,Maharashtra,39836,6879717.0
2020,Q2,Dadra & Nagar Haveli & Daman & Diu,651,101029.0
2020,Q2,Meghalaya,41,8829.0
2020,Q2,Andaman & Nicobar Islands,6,1360.0
2020,Q2,Haryana,6321,1179814.0
2020,Q2,Rajasthan,5373,1095933.0
2020,Q2,Ladakh,14,2538.0
2020,Q2,Punjab,2036,399452.0
2020,Q2,Assam,978,210034.0
2020,Q2,Jharkhand,2063,405031.0
2020,Q2,Odisha,2981,615193.0
2020,Q2,Bihar,2816,595621.0
2020,Q2,Kerala,1588,360216.0
2020,Q2,Karnataka,27358,4794150.0
2020,Q2,Chandigarh,149,29537.0
2020,Q2,Telangana,19003,3419453.0
2020,Q2,Himachal Pradesh,392,77936.0
2020,Q2,West Bengal,7619,1432764.0
2020,Q2,Gujarat,7697,1430591.0
2020,Q2,Sikkim,21,4789.0
2020,Q2,Nagaland,41,9791.0
2020,Q2,Mizoram,31,7322.0
2020,Q2,Chhattisgarh,1346,279005.0
2020,Q2,Jammu & Kashmir,206,48484.0
2020,Q2,Goa,341,71100.0
2020,Q2,Arunachal Pradesh,65,14329.0
2020,Q2,Delhi,11716,1897480.0
2020,Q2,Uttarakhand,660,134899.0
2020,Q3,Puducherry,191,58399.0
2020,Q3,Tamil Nadu,8026,2257373.0
2020,Q3,Uttar Pradesh,18131,4436969.0
2020,Q3,Madhya Pradesh,14476,3496126.0
2020,Q3,Andhra Pradesh,49812,12426481.0
2020,Q3,Tripura,249,61642.0
2020,Q3,Lakshadweep,4,1199.0
2020,Q3,Manipur,134,45164.0
2020,Q3,Maharashtra,71662,19230156.0
2020,Q3,Dadra & Nagar Haveli & Daman & Diu,257,65504.0
2020,Q3,Meghalaya,112,33615.0
2020,Q3,Andaman & Nicobar Islands,41,15380.0
2020,Q3,Haryana,7139,1884868.0
2020,Q3,Rajasthan,15235,3758527.0
2020,Q3,Ladakh,33,10260.0
2020,Q3,Punjab,2488,684753.0
2020,Q3,Assam,2206,599450.0
2020,Q3,Jharkhand,5368,1349934.0
2020,Q3,Odisha,10955,2640191.0
2020,Q3,Bihar,9733,2161102.0
2020,Q3,Kerala,8811,2830361.0
2020,Q3,Karnataka,53701,12407394.0
2020,Q3,Chandigarh,264,70969.0
2020,Q3,Telangana,34395,8406543.0
2020,Q3,Himachal Pradesh,531,165559.0
2020,Q3,West Bengal,12596,2878482.0
2020,Q3,Gujarat,12525,3335812.0
2020,Q3,Sikkim,94,28000.0
2020,Q3,Nagaland,89,20798.0
2020,Q3,Mizoram,74,24691.0
2020,Q3,Chhattisgarh,4702,1393656.0
2020,Q3,Jammu & Kashmir,441,133339.0
2020,Q3,Goa,683,196864.0
2020,Q3,Arunachal Pradesh,135,39687.0
2020,Q3,Delhi,7588,1927285.0
2020,Q3,Uttarakhand,1403,418543.0
2020,Q4,Puducherry,234,197955.0
2020,Q4,Tamil Nadu,10290,8993575.0
2020,Q4,Uttar Pradesh,17470,14180417.0
2020,Q4,Madhya Pradesh,10653,4897124.0
2020,Q4,Andhra Pradesh,21464,12985632.0
2020,Q4,Tripura,244,149765.0
2020,Q4,Manipur,90,49057.0
2020,Q4,Maharashtra,44798,27113814.0
2020,Q4,Dadra & Nagar Haveli & Daman & Diu,232,149513.0
2020,Q4,Meghalaya,92,71029.0
2020,Q4,Andaman & Nicobar Islands,124,157975.0
2020,Q4,Haryana,8283,5974278.0
2020,Q4,Rajasthan,12509,6471573.0
2020,Q4,Ladakh,27,34206.0
2020,Q4,Punjab,2451,1884291.0
2020,Q4,Assam,2413,1806801.0
2020,Q4,Jharkhand,3659,2857024.0
2020,Q4,Odisha,7526,4208701.0
2020,Q4,Bihar,9913,7860932.0
2020,Q4,Kerala,5479,4445525.0
2020,Q4,Karnataka,31747,26814968.0
2020,Q4,Chandigarh,200,153341.0
2020,Q4,Telangana,20961,11339099.0
2020,Q4,Himachal Pradesh,710,630966.0
2020,Q4,West Bengal,10233,7510455.0
2020,Q4,Gujarat,9990,6055037.0
2020,Q4,Sikkim,67,70214.0
2020,Q4,Nagaland,62,38836.0
2020,Q4,Mizoram,81,119124.0
2020,Q4,Chhattisgarh,3757,2249901.0
2020,Q4,Jammu & Kashmir,647,734861.0
2020,Q4,Goa,614,682364.0
2020,Q4,Arunachal Pradesh,125,84247.0
2020,Q4,Delhi,9725,8045442.0
2020,Q4,Uttarakhand,1756,1961891.0
2021,Q1,Puducherry,372,351827.0
2021,Q1,Tamil Nadu,14406,11180849.0
2021,Q1,Uttar Pradesh,24103,18027573.0
2021,Q1,Madhya Pradesh,14427,5567927.0
2021,Q1,Andhra Pradesh,22105,12749874.0
2021,Q1,Tripura,360,191531.0
2021,Q1,Lakshadweep,4,5225.0
2021,Q1,Manipur,136,72254.0
2021,Q1,Maharashtra,55792,33137753.0
2021,Q1,Dadra & Nagar Haveli & Daman & Diu,467,285691.0
2021,Q1,Meghalaya,107,128776.0
2021,Q1,Andaman & Nicobar Islands,225,244266.0
2021,Q1,Haryana,11038,7297880.0
2021,Q1,Rajasthan,17800,8074225.0
2021,Q1,Ladakh,32,34530.0
2021,Q1,Punjab,3783,2558380.0
2021,Q1,Assam,3167,2334419.0
2021,Q1,Jharkhand,4879,3274851.0
2021,Q1,Odisha,8236,4383330.0
2021,Q1,Bihar,12554,8796619.0
2021,Q1,Kerala,5731,5040506.0
2021,Q1,Karnataka,37595,30183325.0
2021,Q1,Chandigarh,338,238576.0
2021,Q1,Telangana,28298,14810947.0
2021,Q1,Himachal Pradesh,1064,906492.0
2021,Q1,West Bengal,15488,11172042.0
2021,Q1,Gujarat,12673,7288104.0
2021,Q1,Sikkim,122,111777.0
2021,Q1,Nagaland,79,42973.0
2021,Q1,Mizoram,415,302841.0
2021,Q1,Chhattisgarh,4712,2620468.0
2021,Q1,Jammu & Kashmir,1105,1546288.0
2021,Q1,Goa,879,827384.0
2021,Q1,Arunachal Pradesh,194,131611.0
2021,Q1,Delhi,12822,9655261.0
2021,Q1,Uttarakhand,2607,2719327.0
2021,Q3,Puducherry,561,556442.0
2021,Q3,Tamil Nadu,23107,23402918.0
2021,Q3,Uttar Pradesh,32799,32641118.0
2021,Q3,Madhya Pradesh,11990,7806258.0
2021,Q3,Andhra Pradesh,23075,19914338.0
2021,Q3,Tripura,494,649961.0
2021,Q3,Lakshadweep,19,16034.0
2021,Q3,Manipur,111,133016.0
2021,Q3,Maharashtra,52268,41313307.0
2021,Q3,Dadra & Nagar Haveli & Daman & Diu,360,273596.0
2021,Q3,Meghalaya,139,214554.0
2021,Q3,Andaman & Nicobar Islands,230,305235.0
2021,Q3,Haryana,14163,13215898.0
2021,Q3,Rajasthan,16643,12793862.0
2021,Q3,Ladakh,192,174052.0
2021,Q3,Punjab,4887,5271559.0
2021,Q3,Assam,4495,6010865.0
2021,Q3,Jharkhand,6794,7046048.0
2021,Q3,Odisha,7967,6008686.0
2021,Q3,Bihar,18030,18234941.0
2021,Q3,Kerala,10926,13255646.0
2021,Q3,Karnataka,47468,48078366.0
2021,Q3,Chandigarh,494,469634.0
2021,Q3,Telangana,27080,20925217.0
2021,Q3,Himachal Pradesh,1759,2444545.0
2021,Q3,West Bengal,24839,21424337.0
2021,Q3,Gujarat,15348,12341903.0
2021,Q3,Sikkim,106,140552.0
2021,Q3,Nagaland,91,123643.0
2021,Q3,Mizoram,81,83641.0
2021,Q3,Chhattisgarh,4676,3568837.0
2021,Q3,Jammu & Kashmir,1452,2139133.0
2021,Q3,Goa,1214,1385986.0
2021,Q3,Arunachal Pradesh,212,371051.0
2021,Q3,Delhi,16679,15007079.0
2021,Q3,Uttarakhand,4111,4646571.0
