year,quarter,state,district,registeredusers,appopens
2022,Q3,West Bengal,Bankura,876942,19359761
2022,Q3,West Bengal,Jhargram,169238,6932555
2022,Q3,West Bengal,Howrah,1354886,3768021
2022,Q3,West Bengal,Hooghly,1506412,7341952
2022,Q3,West Bengal,Kolkata,2588380,7233109
2022,Q3,West Bengal,Koch Bihar,513734,15866079
2022,Q3,West Bengal,Alipurduar,249040,9798727
2022,Q3,West Bengal,Paschim Bardhaman,1062575,7436013
2022,Q3,West Bengal,Nadia,1296764,8193105
2022,Q3,West Bengal,Birbhum,817245,10038558
2022,Q3,West Bengal,Purba Medinipur,1286641,8539781
2022,Q3,West Bengal,Maldah,909646,11766412
2022,Q3,West Bengal,Darjiling,539475,9024909
2022,Q4,West Bengal,South Twenty Four Parganas,1828512,43210119
2022,Q4,West Bengal,Purba Bardhaman,1119310,26694359
2022,Q4,West Bengal,Uttar Dinajpur,575332,20171516
2022,Q4,West Bengal,Kalimpong,53546,1594156
2022,Q4,West Bengal,Murshidabad,1778470,38340855
2022,Q4,West Bengal,Paschim Medinipur,1217113,33588774
2022,Q4,West Bengal,Dakshin Dinajpur,408840,7923323
2022,Q4,West Bengal,Jalpaiguri,374687,13099756
2022,Q4,West Bengal,Purulia,622616,18471332
2022,Q4,West Bengal,North Twenty Four Parganas,3755017,98250506
2022,Q4,West Bengal,Bankura,915088,20858345
2022,Q4,West Bengal,Jhargram,176275,4697765
2022,Q4,West Bengal,Howrah,1422011,38940871
2022,Q4,West Bengal,Hooghly,1579023,38629651
2022,Q4,West Bengal,Kolkata,2716412,72501084
2022,Q4,West Bengal,Koch Bihar,537703,18582684
2022,Q4,West Bengal,Alipurduar,260586,8648443
2022,Q4,West Bengal,Paschim Bardhaman,1114822,35773256
2022,Q4,West Bengal,Nadia,1359420,33853990
2022,Q4,West Bengal,Birbhum,855236,20950662
2022,Q4,West Bengal,Purba Medinipur,1346908,38278506
2022,Q4,West Bengal,Maldah,954892,29023743
2022,Q4,West Bengal,Darjiling,564562,15982631
2023,Q4,West Bengal,South Twenty Four Parganas,2154289,111103321
2023,Q4,West Bengal,Purba Bardhaman,1321422,60531604
2023,Q4,West Bengal,Uttar Dinajpur,686351,59519903
2023,Q4,West Bengal,Kalimpong,63057,4888327
2023,Q4,West Bengal,Murshidabad,2100695,116976651
2023,Q4,West Bengal,Paschim Medinipur,1437662,58861738
2023,Q4,West Bengal,Dakshin Dinajpur,488888,21098761
2023,Q4,West Bengal,Jalpaiguri,443804,30120250
2023,Q4,West Bengal,Purulia,740950,41863889
2023,Q4,West Bengal,North Twenty Four Parganas,4396190,179735656
2023,Q4,West Bengal,Bankura,1082170,41621227
2023,Q4,West Bengal,Jhargram,208933,10686793
2023,Q4,West Bengal,Howrah,1669556,74185370
