year,quarter,state,district,registeredusers
2019,Q2,West Bengal,Murshidabad,548604
2019,Q2,West Bengal,Howrah,480813
2019,Q2,West Bengal,Purba Medinipur,448850
2019,Q2,West Bengal,Nadia,447979
2019,Q2,West Bengal,Paschim Medinipur,411877
2019,Q2,West Bengal,Paschim Bardhaman,395259
2019,Q1,West Bengal,North Twenty Four Parganas,1130983
2019,Q1,West Bengal,Kolkata,868126
2019,Q1,West Bengal,South Twenty Four Parganas,487180
2019,Q1,West Bengal,Hooghly,480952
2019,Q1,West Bengal,Murshidabad,478812
2019,Q1,West Bengal,Howrah,410583
2019,Q1,West Bengal,Purba Medinipur,389583
2019,Q1,West Bengal,Nadia,385179
2019,Q1,West Bengal,Paschim Medinipur,361979
2019,Q1,West Bengal,Paschim Bardhaman,349928
2019,Q3,West Bengal,North Twenty Four Parganas,1478650
2019,Q3,West Bengal,Kolkata,1138965
2019,Q3,West Bengal,South Twenty Four Parganas,659919
2019,Q3,West Bengal,Hooghly,624518
2019,Q3,West Bengal,Murshidabad,622422
2019,Q3,West Bengal,Howrah,540552
2019,Q3,West Bengal,Purba Medinipur,504142
2019,Q3,West Bengal,Nadia,502635
2019,Q3,West Bengal,Paschim Medinipur,455417
2019,Q3,West Bengal,Paschim Bardhaman,438438
2018,Q2,West Bengal,North Twenty Four Parganas,572438
2018,Q2,West Bengal,Kolkata,431481
2018,Q2,West Bengal,Murshidabad,276931
2018,Q2,West Bengal,Hooghly,221090
2018,Q2,West Bengal,South Twenty Four Parganas,214056
2018,Q2,West Bengal,Nadia,209683
2018,Q2,West Bengal,Paschim Bardhaman,203750
2018,Q2,West Bengal,Howrah,198699
2018,Q2,West Bengal,Purba Medinipur,195830
2018,Q2,West Bengal,Paschim Medinipur,185542
2018,Q3,West Bengal,North Twenty Four Parganas,722572
2018,Q3,West Bengal,Kolkata,548600
2018,Q3,West Bengal,Murshidabad,335935
2018,Q3,West Bengal,South Twenty Four Parganas,284988
2018,Q3,West Bengal,Hooghly,280640
2018,Q3,West Bengal,Nadia,262694
2018,Q3,West Bengal,Howrah,255445
2018,Q3,West Bengal,Purba Medinipur,252759
2018,Q3,West Bengal,Paschim Bardhaman,251021
2018,Q3,West Bengal,Paschim Medinipur,238405
2018,Q1,West Bengal,North Twenty Four Parganas,396980
2018,Q1,West Bengal,Kolkata,306503
2018,Q1,West Bengal,Murshidabad,187824
2018,Q1,West Bengal,Hooghly,148033
2018,Q1,West Bengal,South Twenty Four Parganas,142473
2018,Q1,West Bengal,Paschim Bardhaman,139310
2018,Q1,West Bengal,Howrah,136589
2018,Q1,West Bengal,Nadia,136396
2018,Q1,West Bengal,Purba Medinipur,131380
2018,Q1,West Bengal,Paschim Medinipur,127203
2018,Q4,West Bengal,North Twenty Four Parganas,946634
2018,Q4,West Bengal,Kolkata,721653
2018,Q4,West Bengal,Murshidabad,417114
2018,Q4,West Bengal,Hooghly,400360
2018,Q4,West Bengal,South Twenty Four Parganas,398349
2018,Q4,West Bengal,Howrah,339192
2018,Q4,West Bengal,Nadia,325690
2018,Q4,West Bengal,Purba Medinipur,323889
2018,Q4,West Bengal,Paschim Medinipur,304068
2018,Q4,West Bengal,Paschim Bardhaman,302594
2024,Q4,Uttarakhand,Dehradun,1632341
2024,Q4,Uttarakhand,Haridwar,1248271
2024,Q4,Uttarakhand,Udham Singh Nagar,1023155
2024,Q4,Uttarakhand,Nainital,532824
2024,Q4,Uttarakhand,Pauri Garhwal,222404
2024,Q4,Uttarakhand,Tehri Garhwal,194882
2024,Q4,Uttarakhand,Almora,147939
2024,Q4,Uttarakhand,Pithoragarh,138569
2024,Q4,Uttarakhand,Chamoli,118782
2024,Q4,Uttarakhand,Uttarkashi,96095
2024,Q2,Uttarakhand,Dehradun,1575668
2024,Q2,Uttarakhand,Haridwar,1120174
2024,Q2,Uttarakhand,Udham Singh Nagar,961363
2024,Q2,Uttarakhand,Nainital,513541
2024,Q2,Uttarakhand,Pauri Garhwal,260947
2024,Q2,Uttarakhand,Tehri Garhwal,201389
2024,Q2,Uttarakhand,Almora,173316
2024,Q2,Uttarakhand,Pithoragarh,143506
2024,Q2,Uttarakhand,Chamoli,124901
2024,Q2,Uttarakhand,Uttarkashi,100761
2024,Q3,Uttarakhand,Dehradun,1587955
2024,Q3,Uttarakhand,Haridwar,1214585
2024,Q3,Uttarakhand,Udham Singh Nagar,992828
2024,Q3,Uttarakhand,Nainital,517594
2024,Q3,Uttarakhand,Pauri Garhwal,216628
2024,Q3,Uttarakhand,Tehri Garhwal,189713
2024,Q3,Uttarakhand,Almora,143267
2024,Q3,Uttarakhand,Pithoragarh,134196
2024,Q3,Uttarakhand,Chamoli,116505
2024,Q3,Uttarakhand,Uttarkashi,94223
2024,Q1,Uttarakhand,Dehradun,1521402
2024,Q1,Uttarakhand,Haridwar,1079967
2024,Q1,Uttarakhand,Udham Singh Nagar,926596
2024,Q1,Uttarakhand,Nainital,495055
2024,Q1,Uttarakhand,Pauri Garhwal,251419
2024,Q1,Uttarakhand,Tehri Garhwal,194028
2024,Q1,Uttarakhand,Almora,166660
2024,Q1,Uttarakhand,Pithoragarh,138218
2024,Q1,Uttarakhand,Chamoli,120266
2024,Q1,Uttarakhand,Uttarkashi,97077
2023,Q4,Uttarakhand,Dehradun,1466612
2023,Q4,Uttarakhand,Haridwar,1039146
2023,Q4,Uttarakhand,Udham Singh Nagar,890334
2023,Q4,Uttarakhand,Nainital,476343
2023,Q4,Uttarakhand,Pauri Garhwal,240922
2023,Q4,Uttarakhand,Tehri Garhwal,186005
2023,Q4,Uttarakhand,Almora,159623
